Last synchro: 03.11.2017 09:02:27
Nr_Zlecenia_Produkcyjnego;BrakLutowia;BrakKomponentu;ZabrudzonaDioda;UszkodzonaDioda;UszkodzonePCB;PrzesuniecieDiody;ZanieczyszczenieZpieca;Inne;DataCzas
1207816;0;0;0;0;0;7;0;0;29.09.2017 09:35:00
1207776;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207772;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207927;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207942;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207945;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207940;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207996;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207931;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207934;0;0;0;1;0;0;0;1;29.09.2017 09:35:00
1207817;1;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207935;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207954;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207966;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207992;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207943;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207965;0;0;0;0;0;0;0;3;29.09.2017 09:35:00
1207926;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207980;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207899;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207897;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207990;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207932;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207995;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207977;0;0;2;1;0;0;0;0;29.09.2017 09:35:00
1207973;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207901;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207913;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207910;0;0;0;0;0;0;0;1;29.09.2017 09:35:00
1207908;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208025;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
1208084;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207999;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207907;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207985;0;0;3;0;0;0;0;0;29.09.2017 09:35:00
1207989;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208086;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207889;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208059;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207986;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207944;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207949;0;0;0;0;0;1;0;0;29.09.2017 09:35:00
1208106;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207955;0;0;0;0;0;2;0;0;29.09.2017 09:35:00
1207979;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207962;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207923;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1208116;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208167;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208171;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208192;0;0;1;0;0;0;1;0;29.09.2017 09:35:00
1208197;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208113;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208127;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208150;0;0;0;0;0;1;0;0;29.09.2017 09:35:00
1208094;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208157;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1208019;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208050;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1208100;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208159;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208007;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208155;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208220;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207998;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
1208172;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
1208233;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208151;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1208219;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
1208244;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208239;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208221;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208186;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208005;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1204848;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1204996;0;0;2;1;0;0;0;0;29.09.2017 09:35:00
1205021;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205834;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206826;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206753;0;0;0;0;1;0;0;1;29.09.2017 09:35:00
1206743;0;0;5;0;0;0;0;1;29.09.2017 09:35:00
1206751;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206756;0;0;0;0;0;0;0;1;29.09.2017 09:35:00
1206746;0;0;2;0;0;0;0;1;29.09.2017 09:35:00
1206745;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1206755;0;0;0;0;0;0;0;3;29.09.2017 09:35:00
1206757;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1206783;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1206744;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1206840;1;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206858;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206861;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206860;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206850;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206876;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205831;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206749;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206771;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205845;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206879;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206931;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1205777;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1205864;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206847;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1205753;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205808;0;0;0;0;0;4;4;4;29.09.2017 09:35:00
1205794;0;0;0;0;0;4;4;4;29.09.2017 09:35:00
1205874;0;0;0;0;0;4;4;4;29.09.2017 09:35:00
1205869;0;0;0;0;0;1;0;0;29.09.2017 09:35:00
1205796;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1205868;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205813;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206928;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205866;0;0;1;0;0;1;0;0;29.09.2017 09:35:00
1205743;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1205823;1;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207835;0;0;0;0;0;0;0;1;29.09.2017 09:35:00
1207825;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207823;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207807;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207885;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207886;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207887;10;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207832;2;0;0;0;0;0;0;1;29.09.2017 09:35:00
1207827;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207815;2;5;1;0;0;1;0;0;29.09.2017 09:35:00
1207881;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207876;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207804;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207758;3;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207777;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207761;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207759;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207760;0;0;0;0;0;0;0;2;29.09.2017 09:35:00
1207809;0;0;0;0;0;0;0;1;29.09.2017 09:35:00
1207774;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207770;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207814;1;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207753;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207811;1;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207768;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207801;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207756;1;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207775;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208008;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207920;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207917;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207918;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207909;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207891;0;0;4;0;0;0;0;0;29.09.2017 09:35:00
1208003;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207997;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207928;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207930;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207937;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207946;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207957;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207883;5;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207941;0;0;0;0;0;0;0;2;29.09.2017 09:35:00
1207952;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207819;13;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207964;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207987;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207983;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207967;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207981;0;0;1;0;0;0;0;2;29.09.2017 09:35:00
1207991;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1207974;1;0;3;0;0;0;0;0;29.09.2017 09:35:00
1207919;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207956;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207984;0;0;3;0;0;0;0;0;29.09.2017 09:35:00
1207953;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207951;3;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207959;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207903;1;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208024;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208028;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208029;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208030;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207905;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
