Nr_Zlecenia_Produkcyjnego;BrakLutowia;BrakKomponentu;ZabrudzonaDioda;UszkodzonaDioda;UszkodzonePCB;PrzesuniecieDiody;ZanieczyszczenieZpieca;Inne;DataCzas
1204784;0;0;1;0;0;0;0;0;02.10.2017 01:50:00
1204769;0;0;0;0;0;0;0;2;02.10.2017 02:31:00
1204880;0;0;0;0;0;0;0;0;02.10.2017 07:01:00
1204883;0;0;0;0;0;0;0;0;02.10.2017 07:18:00
1210997;0;0;0;0;0;0;0;0;02.10.2017 08:54:00
1210998;0;0;0;0;1;0;0;0;02.10.2017 18:28:00
1210937;0;0;3;0;0;0;0;5;03.10.2017 03:04:00
1211495;0;0;0;0;2;0;0;0;03.10.2017 07:11:00
1210933;0;0;0;0;1;0;1;0;03.10.2017 07:26:00
1210931;0;0;0;0;0;0;1;0;03.10.2017 08:21:00
1210772;0;0;0;0;0;0;0;0;03.10.2017 14:44:00
1207866;0;0;0;0;0;0;0;0;03.10.2017 20:58:00
1208380;0;0;2;1;0;0;0;0;03.10.2017 23:29:00
1210775;0;0;1;0;0;0;0;2;04.10.2017 00:25:00
1210776;0;0;0;0;0;0;0;2;04.10.2017 00:44:00
1208374;0;0;0;0;0;0;0;0;04.10.2017 01:09:00
1210419;0;0;1;0;0;0;0;0;04.10.2017 01:17:00
1210769;0;0;0;0;0;0;0;0;04.10.2017 01:26:00
